Date,NIKON_Count,SONY_Count,Canon_Count
2014-12-00,421,600,679
2014-11-00,349,917,868
2014-10-00,512,1500,312
2014-09-00,251,873,715
2014-08-00,606,730,466
2014-07-00,787,1223,688
2014-06-00,877,1165,1088
2014-05-00,706,1866,1370
2014-04-00,572,1200,858
2014-03-00,735,884,1004
2014-02-00,1105,1811,814
2014-01-00,328,1289,2089
2013-12-00,994,1370,1222
2013-11-00,433,1701,2302
2013-10-00,1342,3060,2339
2013-09-00,3891,2332,3947
2013-08-00,5870,6614,4918
2013-07-00,2658,4721,5014
2013-06-00,3030,5656,3862
2013-05-00,2085,6438,3325
2013-04-00,1536,3101,2314
2013-03-00,725,1841,1744
2013-02-00,964,2172,1005
2013-01-00,1660,2160,1351
2012-12-00,659,2045,1473
2012-11-00,1202,2062,2281
2012-10-00,1093,3279,1912
2012-09-00,1279,1947,2208
2012-08-00,751,1831,2482
2012-07-00,945,2419,2638
2012-06-00,1361,1978,2250
2012-05-00,1396,2570,2642
2012-04-00,1273,1247,1836
2012-03-00,882,2665,3243
2012-02-00,871,1644,1403
2012-01-00,623,1460,1994
2011-12-00,1180,1044,1400
2011-11-00,770,1790,2001
2011-10-00,1277,1195,2476
2011-09-00,870,1396,3004
2011-08-00,1139,2277,2548
2011-07-00,1256,2088,3211
2011-06-00,1746,1004,2509
2011-05-00,1038,1160,2590
2011-04-00,1306,1840,3014
2011-03-00,1151,2131,3186
2011-02-00,612,1183,2290
2011-01-00,679,1610,2205
2010-12-00,695,967,3100
2010-11-00,1168,1270,3826
2010-10-00,1270,1253,2527
2010-09-00,979,1527,2817
2010-08-00,1385,1987,4606
2010-07-00,1406,2114,4897
2010-06-00,1136,1507,3187
2010-05-00,1069,2034,3221
2010-04-00,825,2017,3585
2010-03-00,763,1337,3320
2010-02-00,644,1456,3386
2010-01-00,499,1497,2975
2009-12-00,985,1916,2610
2009-11-00,906,1969,4319
2009-10-00,676,1809,3933
2009-09-00,919,1806,2781
2009-08-00,1233,2125,3711
2009-07-00,1035,3577,4927
2009-06-00,996,1748,4664
2009-05-00,1569,2099,3779
2009-04-00,1256,1701,2882
2009-03-00,839,1218,3723
2009-02-00,751,1042,3987
2009-01-00,892,2110,4493
2008-12-00,789,1596,4030
2008-11-00,617,1444,2741
2008-10-00,1292,1430,4533
2008-09-00,940,2141,4413
2008-08-00,780,2417,4209
2008-07-00,1362,1730,3689
2008-06-00,870,1206,4437
2008-05-00,658,1508,5028
2008-04-00,649,1362,3765
2008-03-00,810,1914,3214
2008-02-00,729,1843,2791
2008-01-00,699,2027,3809
2007-12-00,1012,1674,3691
2007-11-00,746,1563,2312
2007-10-00,1049,2194,3560
2007-09-00,1112,1728,4532
2007-08-00,1638,2989,6664
2007-07-00,746,2018,4099
2007-06-00,269,1311,2560
2007-05-00,472,1440,2729
2007-04-00,343,1334,1870
2007-03-00,213,1089,2356
2007-02-00,560,1662,1457
2007-01-00,409,1188,1577
2006-12-00,250,1106,1774
2006-11-00,196,704,1895
2006-10-00,475,679,2261
2006-09-00,490,810,2131
2006-08-00,430,1920,2754
2006-07-00,167,1273,2891
2006-06-00,150,2293,1892
2006-05-00,303,1149,1577
2006-04-00,296,894,1938
2006-03-00,149,1095,2266
2006-02-00,135,737,1838
2006-01-00,107,1261,1347
2005-12-00,47,1228,1232
2005-11-00,77,472,838
2005-10-00,68,973,1363
2005-09-00,199,996,1082
2005-08-00,199,1514,2060
2005-07-00,245,1049,2137
2005-06-00,129,786,2383
2005-05-00,30,377,1582
2005-04-00,31,532,2042
2005-03-00,241,888,964
2005-02-00,31,748,1036
2005-01-00,56,319,795
2004-12-00,50,552,885
2004-11-00,13,463,805
2004-10-00,59,318,753
2004-09-00,22,578,792
2004-08-00,47,547,979
2004-07-00,21,438,1025
2004-06-00,60,276,807
2004-05-00,2,310,449
2004-04-00,119,354,405
2004-03-00,1,165,605
2004-02-00,177,228,285
2004-01-00,2,220,377
